"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","95","100","6","84.797752","0","112"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","111","54","2","89.034393","0","481"
"/OpenXR/Devices/M_XRController.M_XRController","0","54","39","3","66.429451","0","85"
"Globals","0","3049","0","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","19","4","1","19.648750","0","61"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","11","1","1","8.150653","0","87"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","36","4","1","28.536915","0","330"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","14","5","1","10.111945","0","38"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","14","1","1","10.286848","0","35"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","6","6","1","5.516625","0","6"
"/OculusVR/Materials/TouchForQuestRiftSControllerMaterial.TouchForQuestRiftSControllerMaterial","0","18","1","1","16.674286","0","46"
"/OculusVR/Materials/touchController_mat.touchController_mat","0","48","10","1","38.047680","0","182"
"/OculusVR/Materials/OculusMR_OpaqueColoredMaterial.OculusMR_OpaqueColoredMaterial","0","6","6","1","6.089772","0","7"
"/OculusVR/Materials/OculusMR_ChromaKey.OculusMR_ChromaKey","0","12","12","1","10.188260","0","19"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","8","8","1","9.695896","0","11"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","80","10","1","108.144882","0","484"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","118","16","1","158.766296","0","1000"
"/Engine/EngineDebugMaterials/WireframeMaterial.WireframeMaterial","0","690","10","1","335.147278","0","28612"
"/Engine/EngineDebugMaterials/VertexColorMaterial.VertexColorMaterial","0","125","10","1","81.190865","0","1025"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","217","10","1","186.578827","0","2812"
"/Engine/ArtTools/RenderToTexture/Materials/Debug/M_Emissive_Color.M_Emissive_Color","0","6","6","1","6.687169","0","6"
"/OculusVR/Materials/PokeAHoleMaterial.PokeAHoleMaterial","0","12","12","1","10.735245","0","22"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","12","12","1","10.198813","0","12"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","30","4","1","27.113081","0","87"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","12","12","1","10.583913","0","16"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","6","6","1","6.849123","0","6"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","18","18","1","19.160791","0","27"
"/Engine/VREditor/TransformGizmo/Main.Main","0","12","1","1","10.785343","0","34"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","0","62","13","1","62.830551","0","209"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","58","1","1","170.835129","0","335"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","16","16","1","12.504447","0","16"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","23","23","1","12.174624","0","23"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","163","163","1","145.014359","0","163"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","1065","1092","1","680.313721","0","1092"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","40","11","1","29.653336","0","137"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","8","8","1","6.394402","0","9"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","8","8","1","6.295178","0","13"
"/Game/StarterContent/Materials/M_Basic_Wall.M_Basic_Wall","0","33","8","1","35.165096","0","107"
"/Game/StarterContent/Materials/M_Metal_Gold.M_Metal_Gold","0","33","1","1","34.953533","0","129"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","6","6","1","6.291492","0","6"
"/Game/StarterContent/Materials/M_Concrete_Poured.M_Concrete_Poured","0","33","10","1","36.902405","0","116"
"/Game/StarterContent/Materials/M_Metal_Brushed_Nickel.M_Metal_Brushed_Nickel","0","33","10","1","36.176651","0","102"
"/Game/StarterContent/Materials/M_Metal_Burnished_Steel.M_Metal_Burnished_Steel","0","33","10","1","36.378017","0","105"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","23","9","1","10.345482","0","65"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","11","12","1","8.547137","0","13"
